name,year,age,sex,title,affiliation,location,area,bio,affil_short,title_short,area_short
Nicholas Strausfeld,1995-06-15,53,Male,None Provided,None Provided,"Tucson, Arizona",Neuroscience and Neurobiology,"
                  
	About Nicholas' Work

	Nicholas Strausfeld, a neurobiologist, is an expert on arthropod anatomy, particularly the brains of insects.

	His work has been critical in understanding how flies see and maneuver, and how their head movements are related to their flight behavior during steering.  Strausfeld’s books include Atlas of an Insect Brain (1976) and Functional Neuroanatomy (1983).  His research focuses on the analysis of higher brain centers in insects and employs structural features of the brains of invertebrates for investigating their phylogenetic relationships.  His studies of insect neuroanatomy have implications for basic and biomedical research.

	Biography

	He held several research positions in German laboratories including the Max Plank Institute for Biological Cybernetics in Tübingen (1971-75) and the European Molecular Biology Laboratory in Heidelberg (1975-86).  Since 1987, Strausfeld has been the Regents Professor of Neurobiology in the Arizona Research Laboratories’ Division of Neurobiology at the University of Arizona, where he holds several joint appointments, including one in the Department of Ecology and Evolutionary Biology and as an Adjunct Professor of Art.

	Strausfeld received a B.Sc. (1965) and a Ph.D. (1968) from the University College, London; he received his Habilitation (1985) from the University of Frankfurt, Germany.

	Last updated January 1, 2005

              ",None Provided,None Provided,Neuroscience and Neurobiology
Nicole Eisenman,2015-06-15,50,Female,None Provided,None Provided,"New York, New York","2-D Visual Art, 3-D Visual Art","
                  
	About Nicole's Work

	Nicole Eisenman is an artist who is expanding the critical and expressive capacity of the Western figurative tradition through works that engage contemporary social issues and phenomena. Over the course of nearly four decades and working across various media, including painting, sculpture, drawing, and printmaking, Eisenman has restored to the representation of the human form a cultural significance that had waned during the ascendancy of abstraction in the twentieth century.

	She draws on narrative and rhetorical modes—including allegory and satire—to explore such themes as gender and sexuality, family dynamics, and inequalities of wealth and power. At the same time, she stages dialogues with artists from the past, both by referencing specific works and by employing stylistic and thematic approaches derived from art historical movements. In a series of paintings of beer-garden scenes (2008­– ), for example, Eisenman updates Renoir’s tableaux of bourgeois leisure, replacing the nineteenth-century French characters that populate Renoir’s originals with a dense, New York crowd. The Triumph of Poverty (2009) presents a complex allegory of contemporary economic conditions. Eisenman’s skill as a painter of imaginative compositions is evidenced not only through the array of social types represented but also through the bold contrasts of color that inject the work with emotional and psychological intensity.

	As a draftswoman, Eisenman deftly conveys the weight and movement of the human body through skillful manipulations of line and shading. In her print Man Holding His Shadow (2011), she uses lithography, a medium at one remove from the artist’s hand, to reflect on the limits of representation while maintaining her painterly style of mark making. More recently, she has brought her wry, intelligent vision to sculpture, proving that she is equally adept at imagining and shaping forms in three dimensions. In her challenging engagement with the human figure and investigation of social meaning, Eisenman is developing new conventions of figuration to address enduring themes of the human condition.

	Biography

	Nicole Eisenman received a B.F.A. (1987) from the Rhode Island School of Design. Her work has been exhibited in solo and group exhibitions at such institutions as the Whitney Museum of American Art, the Museum of Modern Art, the San Francisco Museum of Modern Art, the Carnegie Museum of Art, Kunsthalle Zürich, and the Ludwig Museum in Cologne, Germany. In 2014, she was the subject of a midcareer retrospective exhibition organized by the Contemporary Art Museum, St. Louis, and that travelled to the Institute of Contemporary Art, Philadelphia, and the Museum of Contemporary Art, San Diego.

              ",None Provided,None Provided,2-D Visual Art
Nicole King,2005-06-15,35,Female,Evolutionary Biologist,"University of California, Berkeley","Berkeley, California","Genetics and Molecular Biology, Ecology and Evolutionary/Environmental Biology","
                  
	About Nicole's Work

	Nicole King is a biologist who is reconstructing a critical event in the evolution of life – the emergence of multicellular organisms that form the base of the animal (metazoan) kingdom. Although the unicellular progenitors of animals are long gone, King has focused on organisms known as choanoflagellates, a putative outgroup in the early history of metazoan development. Choanoflagellates are unicellular organisms that share some morphological features with animal cells; some species also form colonies. Using molecular genetic techniques, King isolated from choanoflagellates two types of genes: adhesion molecules and receptor tyrosine kinases. These genes are critical for maintaining the physical integrity of tissues and for intercellular communication, respectively; they were previously believed to exist only in animals. Furthermore, she demonstrated that pharmacological inhibition of receptor tyrosine kinase activity reduces the rate of cell division in choanoflagellates, indicating a functional homology of these genes with their orthologs in animals. With these results, King has shown that the genes necessary for multicellular organization predate the emergence of the metazoan kingdom. She argues that demonstrating the existence of genes does not, however, imply that they are working in a coordinated fashion. In her future research, King plans to use whole organism sequence data to compare the functional genomic organization of choanoflagellates with early metazoans such as the sponge family. 

	Biography

	Nicole King received a B.S. (1992) from Indiana University, Bloomington, and an A.M. (1996) and a Ph.D. (1999) from Harvard University. King held a postdoctoral fellowship (2000-2003) at the University of Wisconsin. Since 2003, she has been an assistant professor of genetics and development in the Departments of Molecular and Cell Biology and Integrative Biology at the University of California, Berkeley. She is also a faculty affiliate of the UC Berkeley Center for Integrative Genomics. Her research has appeared in such academic journals as Nature, Science, and Developmental Cell.

	Recent News

	Nicole King is an Investigator in the Howard Hughes Medical Institute and a Professor of Genetics, Genomics and Development at the University of California, Berkeley, where she continues to study the origin and early evolution of animals. In addition, she has become increasingly interested in understanding how bacteria influence the biology and evolution of the eukaryotes with which they associate.

	Updated August 2015

              ","University of California, Berkeley",Evolutionary Biologist,Genetics and Molecular Biology
Nikole Hannah-Jones,2017-06-15,41,Female,Journalist,The New York Times Magazine,"New York, New York",Communications and Journalism,"
                  
	About Nikole's Work

	Nikole Hannah-Jones is an investigative journalist chronicling the demise of racial integration efforts and persistence of segregation in American society, particularly in education. She combines analyses of historical, academic, and policy research with moving personal narratives to bring into sharp relief a problem that many are unwilling to acknowledge still exists and its tragic consequences for African American individuals, families, and communities.

	Her profile of three generations of a family in Tuscaloosa, Alabama, in ""Segregation Now"" (2014) illustrates the historical trajectory of segregation in many school districts in the South. A grandfather attended school before judicial force dismantled Jim Crow–era segregated schools; his daughter, a college graduate, was educated in an integrated school district. But after the district was released from judicial oversight in the 1990s, it effectively became re-segregated; his granddaughter now attends an all-black school that is so poorly resourced it leaves its students far behind their white counterparts. After the shooting of Michael Brown and subsequent unrest in Ferguson, Missouri, Hannah-Jones spent several months investigating a short-lived integration program in the (mostly white, high-achieving) school district 30 miles from (all-black, almost entirely poor, and unaccredited) Normandy School District, where Brown attended high school. The resulting hour-long radio piece, ""The Problem We All Live With"" (2015), unflinchingly conveys the failings of our educational system and exposes how the decisions we make as individuals and collectively as a society have created and perpetuate our two-tier education system. In a particularly poignant section, Hannah-Jones juxtaposes the delight and joy in the voices of a student and her mother contemplating the opportunity to apply to a high school outside of Normandy with the voices of white parents decrying the violence and drop in test scores that they claim will result from the influx of Normandy students.

	Hannah-Jones's deeply personal account of her own experience as a parent in New York City's public school system, ""Choosing a School for My Daughter in a Segregated City"" (2016), shows that school segregation is not an isolated phenomenon but rather a defining factor of most cities across the country. Currently at work on a book about school segregation, Hannah-Jones is compelling us to confront segregation as a fundamental cause of racial disparities and reshaping national conversations about education reform.

	Biography

	Nikole Hannah-Jones received a B.A. (1998) from the University of Notre Dame and an M.A. (2003) from the University of North Carolina. She was a reporter for the Raleigh News and Observer (2003–2006), the Oregonian (2006–2011), and ProPublica (2011–2015) prior to joining the staff of the New York Times. In 2015, she co-founded the Ida B. Wells Society for Investigative Reporting with the goal of increasing the number of reporters and editors of color.

              ",The New York Times Magazine,Journalist,Communications and Journalism
Njideka Akunyili Crosby,2017-06-15,34,Female,None Provided,None Provided,"Los Angeles, California",2-D Visual Art,"
                  
	About Njideka's Work

	Njideka Akunyili Crosby is a figurative painter whose large-scale works express the hybridity characteristic of transnational experience through choices of subject matter, materials, and techniques.

	Born and raised in Nigeria but living now in the United States, Akunyili Crosby layers paint, fabric, and photographic source imagery that she transfers or collages onto her surfaces. She constructs scenes that often include figures, sometime family members, situated in domestic settings. Gleaned from family photos, cutouts from Nigerian newspapers and magazines, and commemorative cloth, the appropriated elements signal the works' engagement with the world beyond the here and now of the interior scene described—the world of events and history, both collective and personal. For example, in Nwantini (2012), the light and shadows that define the left arm and thigh of the recumbent male figure are the effect of carefully arranged photographic representations of a range of domestic, commercial, and historical scenes. Thus, the painting contains a density of references that convey meaning across multiple registers and speak to disparate times and places simultaneously. This layering also lends a ghostly quality to the pieces. In Super Blue Omo (2016), the legs of the seated female figure appear to be projected onto the work's surface. Many layers of materials from different sources overlay one another, with the final effect being that of an image that refuses to stay fixed, vacillating across different cultures and traditions. While her source imagery often references her African heritage, Akunyili Crosby's works also frequently depict her experiences living in the United States and the point of contact where cultures meet—for example, I Still Face You (2015) portrays her American-born husband seated at a table with her family.

	In her explorations of the complexities of forging identity in a globalized society, Akunyili Crosby is developing an inventive yet accessible representational strategy for understanding culture and history from multiple viewpoints all at once.

	Biography

	Njideka Akunyili Crosby received a B.A. (2004) from Swarthmore College, a Post-Baccalaureate Certificate (2006) from the Pennsylvania Academy of Fine Arts, and an M.F.A. (2011) from Yale University. Her work has been exhibited in solo and group exhibitions at the Whitney Museum of American Art, the Studio Museum in Harlem, the Hammer Museum, and the Norton Museum of Art (West Palm Beach), among others. She has been a visiting instructor at the California Institute of the Arts (2015­–2016), the Maryland Institute College of Art (2012), and Swarthmore College (2011).

              ",None Provided,None Provided,2-D Visual Art
Noel M. Swerdlow,1988-06-15,47,Male,None Provided,None Provided,"Chicago, Illinois",History of Science and Technology,"
                  
	About Noel's Work

	Noel Swerdlow is an historian of science whose technical analyses of the works of Ptolemy and Copernicus have led to a greater understanding of the development of astronomy.

	His research on the technical aspects of early astronomy has been useful in integrating a highly specialized field into broader scientific, historical, and cultural studies.  He has translated and commented on Copernicus’s early astronomical work, The Commentariolus (1973), and is the co-author with the late O. Neugebauer of Mathematical Astronomy in Copernicus’s De Revolutionibus (1984).  Swerdlow is also the author of The Babylonian Theory of the Planets (1998), a study of Babylonian mathematical planetary theory and its relation to celestial divination and observation.  He is working on a general study of astronomy during the Renaissance that will focus on the work of Kepler, Regiomontanus, Copernicus, Tycho Brahe, and Galileo.

	Biography

	Swerdlow is a professor in the Department of Astronomy and Astrophysics and in the Department of History at the University of Chicago.  He has been a member of the Institute for Advanced Study (1973, 1985) in Princeton, New Jersey.

	Swerdlow received a B.A. (1964) from the University of California, Los Angeles, and an M.A. (1967) and Ph.D. (1968) from Yale University.

	Last updated January 1, 2005.

              ",None Provided,None Provided,History of Science and Technology
Nora C. England,1993-06-15,47,Female,None Provided,None Provided,"Iowa City, Iowa",Linguistics,"
                  
	About Nora's Work

	Nora England is a specialist in anthropological linguistics whose scholarship and educational efforts among the Maya of Guatemala have contributed to Mayan ethnic revitalization.

	Over the past twenty years, England has trained more than 100 indigenous Mayan linguists, who are now working in education, applied linguistics, and development.  Often limited by their impoverished, agrarian backgrounds, the Maya people have frequently been excluded from higher education and professions by an ethnic division of labor that marginalizes native peoples.  England’s students are among the first generation of Maya who have had any significant post-high-school education.  England has written A Grammar of Mam, A Mayan Language (1983) and edits the Journal of Mayan Linguistics and Papers in Mayan Linguistics.  Her books include Autonomâia de los Idiomas Mayas: Historia e Identidad (1992) and Maya’ Chii’: Los Idiomas Mayas de Guatemala (1993), both published by the Mayan press, Cholsamaj.

	Biography

	England is the director of the Center for Indigenous Languages of Latin America and a professor of linguistics at the University of Texas, Austin.  She previously held teaching positions at Mississippi State University and the University of Iowa.

	England received a B.A. (1967) from Bryn Mawr College and an M.A. (1971) and a Ph.D. (1975) from the University of Florida.

	Last updated January 1, 2005

              ",None Provided,None Provided,Linguistics
Norman Manea,1992-06-15,56,Male,None Provided,None Provided,"Annandale-on-Hudson, New York",Fiction and Nonfiction Writing,"
                  
	About Norman's Work 

	Norman Manea is a writer of short stories, novels, and essays dealing with the Holocaust, the trauma of daily life in a totalitarian state, and exile.

	Translated into more than ten languages, Manea’s works explore Central and Eastern European studies and culture, Jewish studies, modernity and the writer, ethics and aesthetics under dictatorship, fascism and communism.  His works published in English include On Clowns: The Dictator and the Artist (1992), an essay collection that serves as the intellectual autobiography of an artist under tyranny; October, Eight O’Clock (1992), a series of fictional episodes about a Romanian Jewish boy’s coming of age under totalitarian regimes; Compulsory Happiness (1993), four novellas portraying everyday life in a grotesque police state; The Black Envelope (1995), an exploration of estrangement and human solidarity; and The Hooligan’s Return (2003), a memoir.

	Biography

	Manea is a writer-in-residence and the Francis Flowney Professor of European Studies and Culture at Bard College.  He has contributed commentary on Romanian political events for publications such as the New York Times, the Washington Post, and the Economist.

	Manea received an M.S. (1959) from the Institute of Construction, Faculty of Hydrotechnology, Bucharest, Hungary.

	Last updated January 1, 2005

              ",None Provided,None Provided,Fiction and Nonfiction Writing
Norman Pace,2001-06-15,58,Male,None Provided,None Provided,"Boulder, Colorado","Ecology and Evolutionary/Environmental Biology, Genetics and Molecular Biology","
                  
	About Norman's Work

	Norman Pace is a biochemist who explores the interrelationship of biochemical and evolutionary processes. Pace was the first to recognize and demonstrate that new microbial species can be identified with molecular genetic methods even if they cannot be cultured. These methods led to the identification of microbial species in places previously thought uninhabitable (such as within arctic ice, hot sulfur vents at the bottom of the ocean, and even encased within rock formations deep below the earth’s surface). By analyzing the sequence, structure, and activity of nucleotide-mediated enzymes across many species, Pace reveals their evolutionary histories and the enormous diversity of species on the planet.

	Biography

	Norman Pace received a B.A. (1964) from Indiana University and a Ph.D. (1967) from the University of Illinois, Urbana-Champaign. He is a professor of molecular, cellular, and developmental biology at the University of Colorado, Boulder. He has held faculty positions at the University of Colorado (1969-1984, 1999-), Indiana University (1984-1996), and the University of California, Berkeley (1996-1999). He has published numerous articles in such journals as Applied and Environmental Microbiology and the Proceedings of the National Academy of Sciences USA.

	Last updated January 1, 2005.

              ",None Provided,None Provided,Ecology and Evolutionary/Environmental Biology
Ocean Vuong,2019-06-15,30,Male,Poet and Fiction Writer,"Department of English, University of Massachusetts / Amherst","Amherst, Massachusetts","Poetry, Fiction and Nonfiction Writing","
                  
	About Ocean's Work

	Ocean Vuong is a poet and fiction writer whose works explore the ongoing trauma of war and conditions of exile with tragic eloquence and clarity. The child of illiterate rice farmers from rural Vietnam, Vuong came to the United States as a refugee with his family at the age of two. His poetry is infused with the rhythm, cadences, and imagery of rural Vietnamese oral storytelling and folkloric traditions married to a restless experimentation with the English language.

	In Night Sky with Exit Wounds (2016), his first full-length collection of poetry, the political and the sensual are often intertwined. “Aubade with Burning City” is a tableau of the fall of Saigon on April 30, 1975, that juxtaposes the violence on the streets with the ethereal intimacy of lovers’ final moments together. The lyrics of the song “White Christmas,” which was played on U.S. Armed Forces Radio to signal the final evacuation of American citizens, appear in haunting fragments throughout the poem. At times, Vuong uses silence to render depth of feeling. “Seventh Circle of Earth,” about the 2011 murder of a gay couple by immolation in Dallas, Texas, is written in its entirety as footnotes. The footnote numbers run down an otherwise empty page, reinforcing the erasure wrought by the violence, and the text of the poem is formatted as short quotations in the footnotes themselves, with slashes indicating line breaks. Vuong continues to explore related themes of loss, survival, and the bridging of disparate worlds through language in his novel, On Earth We’re Briefly Gorgeous (2019). Structured as a letter from a son to his mother, who cannot speak English or read in any language, the loosely autobiographical novel is a tangle of personal and colonial histories. In short sections that are each distinct memories, it moves from war-torn Vietnam to a teenager’s first sexual experiences. The language shifts as the narrator makes himself more vulnerable to his interlocutor; the dense prose used to describe childhood memories becomes an elegy, then a meditation, and finally a series of broken phrases about the tragic end of his first love. The novel concludes on a hopeful note, however, with the narrator determined to embrace joy, ambition, and future opportunities for love.

	Still early in his career, Vuong is a vital new literary voice demonstrating mastery of multiple poetic registers while addressing the effects of intergenerational trauma, the refugee experience, and the complexities of identity and desire.

	Biography

	Ocean Vuong received a BA (2012) from Brooklyn College of the City University of New York and an MFA (2016) from New York University. He is an assistant professor in the MFA Program for Poets and Writers at the University of Massachusetts, Amherst. He is the author of the chapbooks Burnings (2010) and No (2013), and his poems and essays have been published in The Atlantic, The New Yorker, Guernica, The New Republic, Poetry Magazine, and the American Poetry Review, among other journals and publications.

	Quote from Ocean

	Words are, in a sense, bodies moving from one space to another.

	Language, like people, can be perpetually in flux. Words are, in a sense, bodies moving from one space to another. Our very cells, too, are always moving. They are just overflowing, and dying, and being reborn. What is seemingly so static is actually constantly in motion. Literature, then, is movement—but it is also the measure of movement in our species' thinking and feeling. To participate in that great migration, as a writer, is the ultimate gift.

              ",University of Massachusetts / Amherst,Poet and Fiction Writer,Poetry
Octavia Butler,1995-06-15,48,Female,None Provided,None Provided,"Pasadena, California",Fiction and Nonfiction Writing,"
                  
	About Octavia's Work

	Octavia Butler, a writer of science fiction, brought elements of African and African-American spiritualism, mysticism, and mythology to her novels and stories.

	Her novel, Kindred (1979), introduced the science fiction community to slavery in the United States through a narrative involving time travel, while Parable of the Sower (1993) raised questions about the environment, technology, theology, and metaphysics.  Butler's Patternists series includes five novels published between 1976 and 1984, and investigates issues of gender and class identity within a society managed by an elite group of telepaths.  Her Xenogenesis trilogy, including Dawn (1987), Adulthood Rites (1988), and Imago (1989), depicts the near destruction of the human world due to prejudice, class conflict, and violence.  Her imaginative stories are transcendent fables, which have as much to do with the future as with the present and the past.

	Biography

	Butler was an independent writer and lived in Seattle, Washington.  Among her other works are the novella Bloodchild (1995, 2d ed. 2005), Parable of the Talents (1998), Lilith's Brood (2000), and Fledgling (2005).

	Butler received an A.A. (1968) from Pasadena City College and attended California State University, Los Angeles, and the University of California, Los Angeles. 

	Last updated January 1, 2006

              ",None Provided,None Provided,Fiction and Nonfiction Writing
Ofelia Zepeda,1999-06-15,45,Female,None Provided,None Provided,"Tuscon, Arizona","Linguistics, Culture and Society","
                  
	About Ofelia's Work 

	Ofelia Zepeda is a linguist, a poet, and a community leader devoted to preserving Native American languages and to revitalizing tribal cultures.

	Zepeda’s A Papago Grammar is a seminal text for the study of her native language (Tohono O'odham). She is dedicated to melding the scholarly role of linguist with a concern for the community outside the university. She has helped to bring about an important transformation in the relationship between the professional linguistic study of local languages and the communities where they are spoken. Zepeda is also committed to the development of a literary tradition in Native American languages and has been instrumental in fostering the careers of Native American writers and language teachers.

	Biography

	Zepeda is a professor in the Departments of Linguistics and American Indian Studies at the University of Arizona. She has taught at the American Indian Language Development Institute since 1980, and has been co-director there since 1989. She is the editor of Mat Hekid o Ju: When It Rains: Papago and Pima Poetry (1982), co-editor of South Corner of Time (1980), and author of A Papago Grammar (1983), Ocean Power: Poems from the Desert (1995) and Jewed ‘I-Hoi: Earth Movement (1997), a book of bilingual poetry.

	Zepeda received a B.A. (1980), M.A. (1981), and Ph.D. (1984) from the University of Arizona.

	Last updated January 1, 2005

              ",None Provided,None Provided,Linguistics
Okwui Okpokwasili,2018-06-15,46,Female,None Provided,None Provided,"New York, New York","Choreography and Dance, Theatrical Arts, Performance Art","
                  
	About Okwui's Work 

	Okwui Okpokwasili is a performer, choreographer, and writer creating multidisciplinary performance pieces that draw viewers into the interior lives of women of color, particularly those of African and African American women, whose stories have long been overlooked and rendered invisible. The child of immigrants from Nigeria, Okpokwasili was born and raised in the Bronx, and the histories of these places and the girls and women who inhabit them feature prominently in much of her work. Her productions are highly experimental in form, bringing together elements of dance, theater, and the visual arts (with spare and distinctive sets designed by her husband and collaborator, Peter Born).

	For the one-woman show Bronx Gothic (2014), she draws upon the disparate storytelling traditions of Victorian epistolary novels and West African griot poets. As Okpokwasili reads from a series of intimate notes exchanged by two black girls navigating the early years of adolescence in the 1980s, her body shudders, buckles, and slams to the floor. Through the intensity and duration of her movements, her body becomes, in effect, the medium through which long-buried experiences—of friendship, sexual awakening, daydreams, and nightmares—are conjured and shared. Her more recent performance piece, Poor People’s TV Room (2017), takes a similarly hybrid, nonlinear form and explores how Nigeria’s past and present collide and fragment within the body. The piece asks the question of whether the legacy of oppression and collective resistance has a psychic resonance that resides beyond conscious memory. She is one of a multigenerational ensemble of four women who perform intricately scored sequences, incantatory monologues, dialogues, and songs loosely inspired by the Bring Back Our Girls movement, launched in response to the Boko Haram kidnappings of nearly 300 Nigerian schoolgirls in 2014, and the Women’s War of 1929, when thousands of Igbo women revolted against British colonial powers. The piece captures African and African American women entangled in the shadows of the forgotten women who came before them, while attempting to write their own futures. The memories of the embodied protests and the collective actions of Nigerian women from the past come rushing back into the present in unwieldy pieces.

	A versatile and virtuosic performer in her own works and in those of other choreographers, filmmakers, and theater artists, she mesmerizes audiences with her shape-shifting character play, sinuous grace, and rich, hypnotic voice. Okpokwasili is making visible the aspects of black womanhood that have been left out of dominant cultural narratives and evoking in audiences a profound sense of empathy for the pain, resilience, fears, and desires that each of her gestures makes manifest.

	Biography

	Okwui Okpokwasili received a B.A. (1996) from Yale University. Her performance work has been commissioned by the Walker Art Center, Danspace Project, Performance Space New York, the Center for the Art of Performance at UCLA, the 10th Annual Berlin Biennale, and Jacob’s Pillow, among other institutions. She has held residencies at the Maggie Allesee National Choreographic Center, the Lower Manhattan Cultural Council, the Rauschenberg Foundation Captiva Residency, and New York Live Arts, where she was a Randjelovic/Stryker Resident Commissioned Artist. She is currently a Hodder Fellow at Princeton University’s Lewis Center for the Arts.

              ",None Provided,None Provided,Choreography and Dance
Olivier Guyon,2012-06-15,36,Male,Optical Physicist and  Astronomer,Subaru Telescope,"Hilo, Hawaii",Astrophysics and Astronomy,"
                  
	About Olivier's Work

	Olivier Guyon is a physicist who uses his expertise in optics to design telescopes that investigate some of the most compelling issues in contemporary astronomy, particularly the search for Earth-like planets outside the solar system. From our perspective, extrasolar planets (exoplanets) appear to orbit extremely close to their home stars but are ten orders of magnitude less bright; the ability to visualize exoplanets with conventional coronagraphs (which block light coming directly from a star) is a function of a telescope’s mirror diameter times four. Guyon invented an alternative coronagraphy method, Phase-Induced Amplitude Apodization (PIAA), which could reduce by nearly half the necessary instrument mirror diameter. This design significantly reduces the engineering and cost obstacles to deploying a planet-locating telescope in low-Earth orbit. Subsequently, Guyon identified the theoretical limit on the performance of such instruments; based on this analysis and related computational models, he compared the expected performance of several methods currently in use or under development, identifying their relative strengths and shortcomings. Currently, he is working to optimize the performance of ground-based PIAA instruments and their variants. Guyon has also made important contributions to other aspects of instrumentation, such as adaptive optics and low-cost, lightweight telescopes for amateurs. He is developing a diffraction-based technique for measuring tiny shifts in the position of stars against the stellar background due to the gravitational influence of orbiting planets, which could provide a powerful complement to existing exoplanet detection methods. In all aspects of his work, from theoretical calculations to laboratory fabrication, Guyon relentlessly tests and pushes boundaries to construct instruments that are key to one of the great scientific adventures of our time—searching the galaxy for other planets like our own.

	Biography

	Olivier Guyon received a Licence (2000) from École Normale Supérieure and a Ph.D. from Université Pierre et Marie Curie (2002). In addition to serving as an assistant professor in the Department of Astronomy and the College of Optical Sciences at the University of Arizona since 2008, he is also an associate member of the Faculty of Graduate Studies at the University of Victoria and a project scientist at the Subaru Telescope, National Observatory of Japan, in Hawaii.

	Recent News

	Olivier Guyon is a core member of project PANOPTES, which is establishing a worldwide network of digital cameras used by citizen scientists to discover new exoplanets by looking for transit events.

	Updated August 2015

              ",Subaru Telescope,Optical Physicist and  Astronomer,Astrophysics and Astronomy
Olufunmilayo Olopade,2005-06-15,48,Female,Oncologist,University of Chicago Hospitals,"Chicago, Illinois",Public Health and Biomedical/Health Sciences,"
                  
	About Olufunmilayo's Work

	Olufunmilayo Olopade is an oncologist who translates her basic research on individual and population cancer susceptibility into an effective clinical practice for treating breast cancer among African and African-American women. Trained in clinical oncology and cancer genetics, her early research led to the identification of a tumor suppressor locus on the short arm of the 9th chromosome. Her more recent work focuses more specifically on the molecular genetics of breast cancer in women of African heritage. Tumors of this population demonstrate distinct biological characteristics, including a high level of aggressiveness and resistance to treatment. Olopade first described recurrent BRCA1 mutations in extended African-American families with breast cancer, and reported BRCA1 and BRCA2 mutations in pre-menopausal breast cancer patients from West Africa. As founding director of the Center for Clinical Cancer Genetics at the University of Chicago, Olopade leads the application of her research from the bench to the bedside. She oversees a coordinated, multidisciplinary, clinical program that includes oncologists, primary care physicians, genetic counselors, sociologists, and psychologists and provides free access to genetic services for local, at-risk populations. Currently, Olopade also heads a West African clinical trial for a pill form of chemotherapy as treatment for women with advanced breast cancer.  In bridging continents with her innovative research and service models, Olopade is increasing the probability of improved outcomes for millions of women of African heritage at risk for cancer here and abroad.

	Biography

	Olufunmilayo Olopade received an M.D. (1980) from the University of Ibadan, Nigeria, and served as a medical officer at the Nigerian Navy Hospital. She completed an internship and residency (1986) at the Cook County Hospital, Chicago, and trained in hematology and oncology as a postdoctoral fellow (1987-1991) at the University of Chicago. Olopade is a professor of medicine and human genetics and director of the Center for Clinical Cancer Genetics at the University of Chicago Medical Center, where she has been on the faculty since 1991.

              ",University of Chicago Hospitals,Oncologist,Public Health and Biomedical/Health Sciences
Ornette Coleman,1994-06-15,64,Male,None Provided,None Provided,"New York, New York",Music Performance and Composition,"
                  
	About Ornette's Work

	Ornette Coleman is a musician and a composer long recognized as an influential figure in the history of jazz.

	His innovative harmolodic theory of music abandons Western conventions of harmony and rhythm, and offers musicians an expanded tonal language with which to compose and improvise.  Coleman’s occasional use of the non-tempered scale, his abandonment of chord changes and the conventions of the 32-bar AABA song form, and improvisational interplay between musicians are characteristic features of his approach.  His album entitled Free Jazz (1960) gave a name to this new music style.

	In addition to being featured on many jazz compilations, his albums include Who’s Crazy (1966), Science Fiction (1971), In All Languages (1987), and Tone Dialing (1995).  Coleman has written several modernist concert pieces, notably the orchestral Skies of America (1972), and movie soundtracks including Naked Lunch (1992).  He is the subject of a film, Ornette: Made in America (1984), compiled from early career footage.

	Biography

	Coleman is a self-taught composer, and a performer on alto and tenor saxophone, trumpet, and violin.  He attended the Lenox School of Jazz in Massachusetts in 1959.  In the 1970s he studied and recorded with the Master Musicians of Jajouka in Morocco, anticipating by a decade the worldwide interest in African music.

	Last updated January 1, 2005

              ",None Provided,None Provided,Music Performance and Composition
Osvaldo Golijov,2003-06-15,42,Male,Composer,College of the Holy Cross,"Worcester, Massachusetts",Music Performance and Composition,"
                  
	About Osvaldo's Work

	Osvaldo Golijov is a composer who blends classical forms with the rhythms and melodies of other genres to create a concert experience that resonates deeply with contemporary audiences. Drawing on diverse musical (e.g., tango, roma, and klezmer) and literary traditions (such as the poems of Emily Dickinson and Pablo Neruda), Golijov’s compositions exhibit a fresh, powerful style. Golijov synthesized the prayers and folk songs of his Jewish heritage with the Latin and classical traditions of his Argentine homeland to craft two pieces, Yiddishbbuk (1992) and The Dreams and Prayers of Isaac the Blind (1994), that seamlessly harmonize the disparate customs of his youth. His recent Pasión Según San Marcos (2000) further explores his syncretic musical heritage as it stylistically and visually reimagines Bach’s Passions on the streets of Cuba and Brazil. This latest work, a sophisticated play on the word and concept of passion, exemplifies the way in which Golijov’s thoughtful artistry is enlivening and expanding the breadth of the contemporary classical music scene.

	Biography

	Osvaldo Golijov studied composition at the Rubin Academy of Jerusalem and received his Ph.D. (1990) from the University of Pennsylvania. He was a Fellow at the Tanglewood Music Center (1990) before joining the Department of Music at the College of the Holy Cross in Worcester, Massachusetts, in 1991. Golijov also serves on the faculties of the Boston Conservatory and the Tanglewood Music Center. His works have been performed by numerous ensembles and orchestras, including the Boston Symphony Orchestra, the Kronos Quartet, the Los Angeles Philharmonic, and the London Sinfonietta.

              ",College of the Holy Cross,Composer,Music Performance and Composition
